step,sense_time,move_time,deposit_time,diffusion_time
203,3.2901763916015625e-05,0.0,2.1457672119140625e-06,0.00098419189453125
204,3.933906555175781e-05,0.0,2.1457672119140625e-06,0.0010890960693359375
205,3.314018249511719e-05,0.0,7.152557373046875e-07,0.0011181831359863281
206,3.695487976074219e-05,0.0,2.1457672119140625e-06,0.001085042953491211
207,4.029273986816406e-05,0.0,2.1457672119140625e-06,0.001055002212524414
208,3.218650817871094e-05,9.5367431640625e-07,1.9073486328125e-06,0.0010292530059814453
209,3.910064697265625e-05,0.0,9.5367431640625e-07,0.001039743423461914
210,3.218650817871094e-05,0.0,1.9073486328125e-06,0.0009946823120117188
211,3.719329833984375e-05,9.5367431640625e-07,9.5367431640625e-07,0.0010809898376464844
212,3.504753112792969e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0011048316955566406
213,4.100799560546875e-05,9.5367431640625e-07,1.6689300537109375e-06,0.0010869503021240234
214,3.3855438232421875e-05,9.5367431640625e-07,1.9073486328125e-06,0.0010581016540527344
215,3.695487976074219e-05,0.0,2.1457672119140625e-06,0.0009329319000244141
216,3.6716461181640625e-05,0.0,9.5367431640625e-07,0.0009737014770507812
217,3.1948089599609375e-05,0.0,1.9073486328125e-06,0.0010712146759033203
218,3.790855407714844e-05,0.0,2.1457672119140625e-06,0.0010149478912353516
219,3.409385681152344e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0013439655303955078
220,3.600120544433594e-05,9.5367431640625e-07,1.9073486328125e-06,0.0009920597076416016
221,3.409385681152344e-05,1.1920928955078125e-06,1.9073486328125e-06,0.000949859619140625
222,3.814697265625e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0009448528289794922
223,3.4809112548828125e-05,9.5367431640625e-07,9.5367431640625e-07,0.0010271072387695312
224,3.600120544433594e-05,0.0,1.9073486328125e-06,0.0010979175567626953
225,3.981590270996094e-05,9.5367431640625e-07,1.9073486328125e-06,0.0010149478912353516
226,4.00543212890625e-05,1.1920928955078125e-06,1.9073486328125e-06,0.0010721683502197266
227,3.0040740966796875e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0010399818420410156
228,3.910064697265625e-05,9.5367431640625e-07,9.5367431640625e-07,0.0009589195251464844
229,3.600120544433594e-05,0.0,1.9073486328125e-06,0.0009891986846923828
230,4.506111145019531e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.001055002212524414
